Unnamed: 0,Model,ara-Arab,ben-Beng,deu-Latn,eng-Latn,fra-Latn,hin-Deva,ind-Latn,jpn-Jpan,kor-Hang,mar-Deva,por-Latn,rus-Cyrl,spa-Latn,swa-Latn,tam-Taml,tel-Telu,tur-Latn,urd-Arab,vie-Latn,zho-Hans
1.0,Qwen3-Embedding-8B,82.43803448275861,91.711625,84.85361764705883,87.74312585034014,73.727,85.74455555555556,90.519,93.5378,98.262,97.554,97.6486,93.724,85.69127272727273,71.897,96.76375,94.6966,98.0435,95.00716666666666,85.1975625,85.44172727272728
2.0,llama-embed-nemotron-8b,82.17410344827587,88.934,85.34129411764707,85.03664285714287,73.15385714285715,85.64025000000001,88.957,92.4304,96.0105,94.19575,96.3012,92.3682,85.83518181818181,80.221,93.2285,90.9642,95.985,91.95666666666668,85.01109375,84.74772727272727
3.0,Octen-Embedding-8B,75.94558620689655,91.0125,79.45285294117647,88.2225612244898,75.30614285714286,85.26327777777777,89.117,92.1894,98.3615,97.719,97.775,91.946,85.0520303030303,65.066,96.86325,94.2306,98.19225,94.83833333333337,84.90118749999999,84.54790909090909
4.0,KaLM-Embedding-Gemma3-12B-2511,80.42775862068964,88.720625,82.93326470588237,88.8431462585034,76.97785714285715,84.12305555555555,87.23219999999999,89.5334,95.78525,94.03275,95.4308,90.4558,84.0738484848485,73.708,93.3205,91.3418,95.67575,91.61683333333332,83.5278125,83.60281818181818
5.0,harrier-oss-v1-27b,74.86,88.303,77.6904705882353,86.45649659863946,77.09114285714286,83.28741666666667,87.58399999999999,91.133,95.13025,93.4825,95.3548,90.8984,83.62833333333333,76.20700000000001,91.99425,90.11039999999998,95.18,89.91066666666666,82.7434375,82.54939393939394
6.0,pplx-embed-v1-4b,82.0571724137931,83.2095,85.15558823529412,79.91707482993196,78.73685714285715,83.79358333333333,87.506,91.13580000000002,96.12025,89.009,96.3242,91.3806,85.56563636363637,71.387,74.41799999999999,86.553,96.32625,82.48416666666665,84.87046875,84.55815151515151
7.0,Qwen3-Embedding-4B,80.21634482758621,86.69075000000001,83.26508823529412,81.10663265306121,72.365,83.49797222222223,87.4588,90.4416,94.92975,92.23525,94.9272,90.873,84.45951515151515,68.944,90.76775,89.83079999999998,93.476,87.33933333333333,83.3059375,83.6230303030303
8.0,voyage-3-large,82.30468965517241,85.34287499999999,84.34585294117647,79.0050850340136,75.43928571428572,83.82469444444445,86.618,88.70840000000001,96.02075,89.81224999999999,95.5042,88.54939999999999,84.727,60.844,84.73175,84.201,94.83,88.24549999999999,84.97646875,84.20718181818182
9.0,F2LLM-v2-14B,74.02158620689654,87.955375,76.96441176470587,84.16706802721087,70.70157142857143,82.78766666666667,85.198,89.3944,95.29575,93.036,94.2304,89.40780000000001,81.98942424242423,69.71000000000001,92.21225,91.0716,94.637,90.60766666666667,81.9535,82.14948484848485
10.0,F2LLM-v2-8B,73.32624137931035,86.5425,76.1455588235294,83.15028231292517,74.07157142857143,82.03575,85.4078,89.32220000000001,95.2305,92.9275,94.14,89.36999999999999,81.32318181818181,71.5,91.83625,91.0028,94.37875,90.33266666666664,80.978,81.47999999999999
11.0,Seed1.6-embedding-1215,77.9911724137931,82.12825000000001,83.91423529411766,79.8831156462585,70.94742857142856,82.70072222222223,86.2538,89.5328,95.97825,87.93925,96.0612,88.8428,85.0678787878788,66.605,83.33175,83.897,93.4635,81.39,83.57478125,85.00457575757576
12.0,Euler-Legal-Embedding-V1,77.34764285714286,93.83957142857142,84.43405263157896,88.12400743494425,85.9348,84.53561904761904,99.17075,98.6615,98.45675,97.627,97.5614,98.7205,84.94516666666667,,97.07,97.5315,98.3655,94.85666666666668,83.10472222222222,83.58455555555557
