variant,roster,language_iso,n_models,kendall_tau,tau_ci_lo,tau_ci_hi,inversion_rate
baseline_global,intersection,ita,28,0.91005291005291,0.7923497267759563,0.989010989010989,0.04497354497354497
baseline_global,intersection,jpn,28,0.8359788359788359,0.6850828729281769,0.9558011049723758,0.082010582010582
baseline_global,intersection,hin,28,0.8730158730158729,0.7752670082726264,0.9504132231404959,0.06349206349206349
baseline_global,intersection,fra,28,0.7777777777777777,0.5944444444444444,0.9063425211152484,0.1111111111111111
baseline_global,intersection,ind,28,0.8412698412698412,0.6914600550964188,0.9453551912568305,0.07936507936507936
baseline_global,intersection,tel,28,0.783068783068783,0.6273972602739727,0.9055620960295474,0.10846560846560846
baseline_global,intersection,kor,28,0.8518518518518519,0.6978021978021979,0.960566149707232,0.07407407407407407
baseline_global,intersection,swa,28,0.783068783068783,0.5945205479452056,0.912568306010929,0.10846560846560846
baseline_global,intersection,fas,28,0.8412698412698412,0.6815581066977714,0.9509536784741144,0.07936507936507936
baseline_global,intersection,tha,28,0.8306878306878307,0.6876712328767124,0.9393939393939396,0.08465608465608465
baseline_global,intersection,rus,28,0.7195767195767195,0.5506818531629983,0.8718662952646241,0.1402116402116402
baseline_global,intersection,zho,28,0.8465608465608466,0.7451523545706371,0.9338842975206613,0.07671957671957672
baseline_global,intersection,deu,28,0.8941798941798942,0.8082060063224448,0.9619565217391306,0.05291005291005291
baseline_global,intersection,ben,28,0.8677248677248677,0.7534246575342467,0.9558011049723758,0.06613756613756613
baseline_global,intersection,ara,28,0.8835978835978835,0.7950138504155124,0.9556786703601109,0.0582010582010582
baseline_global,intersection,spa,28,0.9206349206349207,0.845293154374742,0.9776536312849161,0.03968253968253968
baseline_global,intersection,vie,28,0.91005291005291,0.83013698630137,0.9723756906077349,0.04497354497354497
lang_macro_loo,intersection,ita,28,0.8148148148148148,0.6418485457285056,0.9390581717451523,0.09259259259259259
lang_macro_loo,intersection,jpn,28,0.8783068783068783,0.7796143250688705,0.9553103748774527,0.06084656084656084
lang_macro_loo,intersection,hin,28,0.9365079365079365,0.8474114441416895,0.9944444444444444,0.031746031746031744
lang_macro_loo,intersection,fra,28,0.8783068783068783,0.7493188010899182,0.961218836565097,0.06084656084656084
lang_macro_loo,intersection,ind,28,0.8783068783068783,0.7637362637362638,0.9565217391304349,0.06084656084656084
lang_macro_loo,intersection,tel,28,0.8730158730158729,0.7747252747252747,0.9514344230916457,0.06349206349206349
lang_macro_loo,intersection,kor,28,0.8835978835978835,0.7802197802197802,0.956164383561644,0.0582010582010582
lang_macro_loo,intersection,swa,28,0.8677248677248677,0.7424657534246577,0.9560439560439562,0.06613756613756613
lang_macro_loo,intersection,fas,28,0.9259259259259259,0.8483146067415731,0.9782016348773842,0.037037037037037035
lang_macro_loo,intersection,tha,28,0.9259259259259259,0.8524590163934426,0.978082191780822,0.037037037037037035
lang_macro_loo,intersection,rus,28,0.7566137566137565,0.5891854868567198,0.8784530386740333,0.12169312169312169
lang_macro_loo,intersection,zho,28,0.8888888888888887,0.7880434782608697,0.961218836565097,0.05555555555555555
lang_macro_loo,intersection,deu,28,0.8835978835978835,0.7506775067750677,0.9674796747967481,0.0582010582010582
lang_macro_loo,intersection,ben,28,0.91005291005291,0.8296703296703297,0.9723756906077349,0.04497354497354497
lang_macro_loo,intersection,ara,28,0.9259259259259259,0.8419618528610353,0.9835164835164837,0.037037037037037035
lang_macro_loo,intersection,spa,28,0.9206349206349207,0.814194924769818,0.989041095890411,0.03968253968253968
lang_macro_loo,intersection,vie,28,0.9312169312169312,0.8246575342465754,0.9944903581267219,0.03439153439153439
baseline_global,relaxed,ita,53,0.7184325108853411,0.5616631758442399,0.84070796460177,0.14078374455732948
baseline_global,relaxed,jpn,53,0.6821480406386067,0.5307179866765359,0.8031124490296472,0.15892597968069666
baseline_global,relaxed,hin,53,0.7387518142235124,0.6074342558171555,0.8407750980366355,0.13062409288824384
baseline_global,relaxed,fra,53,0.6269956458635705,0.46696110814082026,0.7566800565919323,0.18650217706821481
