model_id,multi_mean,eng_full_mean,eng_strict_mean,is_cluster_member,n_languages_affected,delta_full,delta_strict
BOOM-4B,0.711528443662166,0.5489718181818182,0.7314599999999999,False,0,-0.16255662548034788,0.019931556337833833
BidirLM-1B,0.6703101102900633,0.48971909090909094,0.7300133333333333,False,0,-0.18059101938097233,0.059703223043270026
BidirLM-2.5B,0.6912834361839975,0.5481564772727272,0.7489116666666668,False,0,-0.14312695891127025,0.057628230482669296
F2LLM-v2-14B,0.7307211513321134,0.6105981818181818,0.74063,False,0,-0.12012296951393153,0.00990884866788666
F2LLM-v2-4B,0.7213481026258022,0.5865713636363636,0.7281883333333333,False,0,-0.13477673898943854,0.0068402307075311475
F2LLM-v2-8B,0.732888973785056,0.6003943181818182,0.7339033333333332,False,0,-0.1324946556032378,0.0010143595482772216
GritLM-7B,0.6196082808009222,0.5457559090909091,0.74822,False,0,-0.07385237171001313,0.12861171919907777
KaLM-Gemma3-12B,0.7665835491879122,0.7329327272727273,0.7801216666666667,False,0,-0.03365082191518487,0.013538117478754552
Qwen3-0.6B,0.6524641784008437,0.6322579545454545,0.7819316666666666,False,0,-0.02020622385538917,0.12946748826582288
Qwen3-4B,0.731245925522438,0.6611984090909091,0.81419,False,0,-0.07004751643152884,0.08294407447756202
Qwen3-8B,0.75362255390226,0.6677963636363636,0.8224233333333334,False,0,-0.08582619026589633,0.06880077943107343
Seed1.6-embed,0.6986944023151308,0.6241875,0.7669766666666668,True,6,-0.0745069023151308,0.06828226435153595
bge-m3,0.6302985399565094,0.48804988636363633,0.65796,False,0,-0.1422486535928731,0.02766146004349057
embeddinggemma-300m,0.6974940615544597,0.5647745454545454,0.7513033333333333,False,0,-0.13271951609991428,0.053809271778873624
granite-311m,0.6579780372176732,0.6320402272727272,0.7083283333333333,True,16,-0.02593780994494599,0.05035029611566011
granite-97m-r2,0.5913151191639271,0.5977096590909091,0.6862583333333333,True,0,0.0063945399269820236,0.09494321416940621
harrier-0.6b,0.6844375365551489,0.710802159090909,0.7701349999999999,True,10,0.026364622535760107,0.08569746344485096
inf-retriever-v1,0.7170657252014282,0.6208306818181818,0.8001616666666668,True,4,-0.0962350433832464,0.08309594146523858
jina-v5-nano,0.6905517514379105,0.5880926136363637,0.7525766666666667,False,0,-0.1024591378015468,0.062024915228756194
jina-v5-small,0.7061836077037197,0.5994742045454545,0.754595,False,0,-0.10670940315826516,0.04841139229628033
ml-e5-small,0.5949546615439488,0.45254659090909094,0.6587200000000001,False,0,-0.1424080706348579,0.06376533845605126
nemotron-8b,0.7492350774653833,0.6347334090909091,0.8062216666666666,False,0,-0.11450166837447417,0.0569865892012833
pplx-embed-0.6b,0.6929784777490023,0.6193547727272727,0.7640816666666667,False,0,-0.07362370502172966,0.07110318891766432
pplx-embed-4b,0.7315577361696958,0.6602930681818182,0.7778233333333334,False,0,-0.07126466798787756,0.04626559716363765
voyage-3.5,0.7088001519842992,0.583702840909091,0.7367750000000001,False,0,-0.12509731107520827,0.027974848015700826
zembed-1,0.7058763817682595,0.572125,0.7278933333333333,False,0,-0.13375138176825951,0.022016951565073772
